,Data,Tags
0,"shania twain's own series gets a premiere date shania twain's own show, ""why not? with shania twain"" will premiere may 8, the network announced thursday.",entertainment
1,"cubs plan to cut pitcher carlos silva, owed $11.5 million chicago cubs right-hander carlos silva has been told he will not be on the team's 25-man roster when the season starts friday.",sport
2,"eu mulls nuclear-free future, tests on reactors europe is considering ""stress testing"" its nuclear power stations to check they can cope with crises, while its energy chief on tuesday even raised the prospect of a nuclear-free future.",world
3,"""glee"" star jane lynch to host 2011 emmy awards ""glee"" star jane lynch will host the primetime emmy awards ceremony in september, organizers of the television industry's top honors said on thursday.",entertainment
4,"bp's arctic oil deal with rosneft collapses bp's plan to gain a foothold in russia's offshore arctic oilfields through a deal with state-controlled rosneft has collapsed, opening the way for other oil groups to try to fill its place.",business
5,"resignation has nevada sorting out the fallout with the announcement of john ensign's resignation, representative dean heller is widely expected to be appointed to the senate and catapulted onto a national stage overnight.",us
6,'tomatoland': not all tomatoes are created equal barry estabrook is the author of 'tomatoland: how modern industrial agriculture destroyed our most alluring fruit.',health
7,"the lede: netanyahu to confront obama with 'reality,' israelis say israeli officials told reporters on friday that president obama 'does not understand the reality in the mideast.'",world
8,eu wants more portugal austerity as eu unions protest eu finance ministers on saturday urged portugal to commit to reforms and defended the region's austerity steps as tens of thousands of european workers protested in budapest against spending cuts.,business
9,"jack morris talks about his place in history jack morris, who authored one of baseball's greatest pitching performances to close the 1991 world series, talks about his hall of fame chances and his legacy.",sport
10,"german confesses to being al qaeda member a german man believed to have given information to the country's intelligence services about possible terror attacks in germany confessed in court on thursday to being a member of al qaeda, his lawyer said.",world
11,"cisco trims fat and sets shake-up in motion cisco systems inc  ceo john chambers, cutting back a bloated management bureaucracy he helped build, has kicked off a sweeping overhaul to revive the networking equipment maker's flagging fortunes.",business
12,"hbo, winslet take 'mildred pierce' mini to the max hbo and kate winslet unite for a new 'mildred' that sticks far more closely to the book, and extends for five hours over three weekly segmen ...",entertainment
13,"merck, sanofi abandon vet medicine joint venture drugmakers merck and sanofi-aventis on tuesday abandoned a year-old effort to create a veterinary medicine joint venture because of the deal's ...",business
14,"matthew morrison plans to direct ""glee"" episodes ""glee"" actor matthew morrison is a broadway star, a tv actor and a songwriter, but soon he will add another role to his resume: director.",entertainment
15,islamic world quiet as bin laden chapter closes voices across the islamic world are now relatively muted in sharp counterpoint to the rage and shame ' or hero-worship ' that osama bin laden ...,world
16,lawyer: no issues with tv reporter bringing mark ingram to tears at draft the attorney for the imprisoned father of new orleans saints rb mark ingram does not blame espn reporter suzy kolber for the rookie's on-stage ...,sport
17,game on: the column. nba plays both sides bloggers tom weir and reid cherner are trying to avoid being upset as no. 1 seeds.,sport
18,states slash $1.8 billion in mental health funds since 2009 and more cuts could be coming in the future.,health
19,e3 2011: live updates from microsoft's media briefing game hunters has landed inside the galen center on the usc campus awaiting microsoft's e3 2011 press conference.,sci_tech
20,"cannes film festival honors jailed iran directors jailed iranian film directors jafar panahi and mohammad rasoulof will be honored at the cannes film festival this year, organizers said on sunday.",entertainment
21,states debate adoption record laws adoptees in new jersey could see their birth certificates under a bill approved by the legislature.,health
22,'wimpy kid' clobbers many other family films 'rodrick rules' is the second movie based on jeff kinney's series.,entertainment
23,"theater review | connecticut: 2 men with badges and a story to tell the play 'a steady rain,' focused on two regular-guy big-city police officers, runs through may 8 in hartford.",entertainment
24,"'witcher' sequel delivers intense action, role-playing while there are fewer video games released these days, quality is making up for the lack of quantity.",sci_tech
25,"jamal  coombs-mcdaniel plans to transfer from connecticut jamal coombs-mcdaniel, a swingman on connecticut's national championship basketball team, has had his initial court appearance on marijuana charges ...",sport
26,"stocks edge higher but leave banks behind stocks closed slightly higher thursday, shrugging off earlier losses due to an unexpected rise in unemployment claims.",business
27,gadhafi forces shell port a medical official says libyan ruler moammar gadhafi's forces have bombarded an area near the port of misrata while an international aid ship ...,world
28,"hold the onions and cook with leeks in this week's recipes for health, martha rose shulman asks why leeks are so underused in american cooking.",health
29,"hiring in u.s. slowed in may with 54,000 jobs added the unemployment rate rose to 9.1 percent, raising concerns once again about the underlying strength of the economic recovery.",business
30,"oscar mayer lunchmeat nearly fat free? no: lawsuit oscar mayer foods misleads consumers about the fat content of some of its products, according to a lawsuit filed against the deli meats maker and its parent company kraft foods on tuesday.",us
31,chrysler dumps social media firm over twitter f-bomb now chrysler is firing the outside social media firm it hired its official chryslerautos twitter account for dropping the f-bomb in a tweet.,business
32,"rutgers 76, seton hall 70, ot: not pretty, but rutgers outlasts seton hall with a gritty and inartistic performance typical of the season under its new coach, mike rice, the 12th-seeded scarlet knights won in the first round of the big east tournament.",sport
33,"'good-natured' gatherings, well wishes from above worries that anarchists would spoil the festivities have so far proved unfounded.",entertainment
34,"williams may be done, but assists streak continues deron williams may be out for the season, but in his short time with the nets he was able to preserve his streak of seasons in which he averaged 10 or more assists a game.",sport
